[2026-06-27T10:05:10.287Z] ========================================
[2026-06-27T10:05:10.291Z]   智能上传脚本 v2（单张·随机间隔）
[2026-06-27T10:05:10.292Z] ========================================
[2026-06-27T10:05:10.299Z] 总图片: 3891 | 已上传: 1002 | 待上传: 2889
[2026-06-27T10:30:08.507Z] [142/2889] 4.9% ✓ 创新引领未来科技赋能成长科技竞赛活动表彰_34.jpg | S:142 F:0 | 1493s
[2026-06-27T10:30:21.913Z] [143/2889] 4.9% ✓ 创新引领未来科技赋能成长科技竞赛活动表彰_35.jpg | S:143 F:0 | 1506s
[2026-06-27T10:30:28.696Z] [144/2889] 4.9% ✓ 创新引领未来科技赋能成长科技竞赛活动表彰_36.jpg | S:144 F:0 | 1515s
[2026-06-27T10:30:40.142Z] [145/2889] 5.0% ✓ 创新引领未来科技赋能成长科技竞赛活动表彰_37.jpg | S:145 F:0 | 1524s
[2026-06-27T10:30:49.355Z] [146/2889] 5.0% ✓ 北京城的前世今生20242025学年第二学期第四期_0.jpg | S:146 F:0 | 1534s
[2026-06-27T10:30:58.270Z] [147/2889] 5.1% ✓ 北京城的前世今生20242025学年第二学期第四期_19.jpg | S:147 F:0 | 1543s
[2026-06-27T10:31:07.960Z] [148/2889] 5.1% ✓ 北京城的前世今生20242025学年第二学期第四期_20.jpg | S:148 F:0 | 1553s
[2026-06-27T10:31:15.614Z] [149/2889] 5.1% ✓ 北京城的前世今生20242025学年第二学期第四期_21.jpg | S:149 F:0 | 1561s
[2026-06-27T10:31:27.228Z] [150/2889] 5.2% ✓ 北京城的前世今生20242025学年第二学期第四期_23.jpg | S:150 F:0 | 1572s
[2026-06-27T10:31:38.396Z] [151/2889] 5.2% ✓ 北京城的前世今生20242025学年第二学期第四期_24.jpg | S:151 F:0 | 1584s
[2026-06-27T10:31:49.424Z]   重试 1/3: 北京城的前世今生20242025学年第二学期第四期_25.jpg - Duplicated upload
[2026-06-27T10:31:57.413Z]   重试 2/3: 北京城的前世今生20242025学年第二学期第四期_25.jpg - Duplicated upload
[2026-06-27T10:32:05.926Z]   重试 3/3: 北京城的前世今生20242025学年第二学期第四期_25.jpg - Duplicated upload
[2026-06-27T10:32:13.322Z] [152/2889] 5.2% ✗ 北京城的前世今生20242025学年第二学期第四期_25.jpg - Duplicated upload | S:151 F:1
[2026-06-27T10:32:21.852Z]   重试 1/3: 北京城的前世今生20242025学年第二学期第四期_26.jpg - Duplicated upload
[2026-06-27T10:32:29.704Z]   重试 2/3: 北京城的前世今生20242025学年第二学期第四期_26.jpg - Duplicated upload
[2026-06-27T10:32:37.273Z]   重试 3/3: 北京城的前世今生20242025学年第二学期第四期_26.jpg - Duplicated upload
[2026-06-27T10:32:44.962Z] [153/2889] 5.3% ✗ 北京城的前世今生20242025学年第二学期第四期_26.jpg - Duplicated upload | S:151 F:2
[2026-06-27T10:32:57.023Z] [154/2889] 5.3% ✓ 北京城的前世今生20242025学年第二学期第四期_27.jpg | S:152 F:2 | 1661s
[2026-06-27T10:33:04.245Z] [155/2889] 5.3% ✓ 北京城的前世今生20242025学年第二学期第四期_31.jpg | S:153 F:2 | 1670s
[2026-06-27T10:33:16.792Z] [156/2889] 5.4% ✓ 北京城的前世今生20242025学年第二学期第四期_32.jpg | S:154 F:2 | 1680s
[2026-06-27T10:33:23.758Z] [157/2889] 5.4% ✓ 北京城的前世今生20242025学年第二学期第四期_33.jpg | S:155 F:2 | 1690s
